кто	дата	счет	статья	сумма	примечания	остаток после					счета		
Л	17.03.2016	сбер.вклад	перевод	14 000,00	л.карта.сбер	755 102,13	2016.3						
Л	17.03.2016	л.карта.сбер	квартира	-25 000,00	риэлтору	(9 671,00)	2016.3						
Л	17.03.2016	л.карта.сбер	перевод	10 000,00	кошелек.Л	329,00	2016.3						
В	17.03.2016	кошелек.В	транспорт	-1 600,00	проездной 60 поездок	15 100,00	2016.3						
В	17.03.2016	кошелек.В	спортзал	-3 000,00	зал	12 100,00	2016.3						
Л	17.03.2016	кошелек.Л	ресторан	-1 300,00	суши, кофе	1 043,00	2016.3						
Л	17.03.2016	кошелек.Л	аптека	-75,00		968,00	2016.3						
Л	18.03.2016	л.карта.сбер	кофе	-285,14	кофе	43,86	2016.3						
Л	17.03.2016	кошелек.Л	продукты	-216,00	кефир, хлеб	752,00	2016.3						
Л	17.03.2016	кошелек.Л	транспорт	-110,00	маршрутка	642,00	2016.3						
Л	17.03.2016	кошелек.Л	продукты	-150,00	орехи Варе	492,00	2016.3						
В	18.03.2016	карта зарпл.В	аптека	-638,50	от простуды	483,14	2016.3						
В	18.03.2016	карта зарпл.В	еда.обед	-300,00		183,14	2016.3						
В	18.03.2016	карта зарпл.В	зарплата	30 000,00		30 183,14	2016.3						
Л	18.03.2016	кошелек.Л	еда.обед	-110,00	обед	382,00	2016.3						
В	20.03.2016	кошелек.В	подарки	-1 300,00		10 800,00	2016.3						
В	20.03.2016	кошелек.В	вещи	-350,00	акк. для капучинатора	10 450,00	2016.3						
В	20.03.2016	карта зарпл.В	перевод	-20 000,00		10 183,14	2016.3						
В	20.03.2016	кошелек.В	перевод	20 000,00		30 450,00	2016.3						
